香江控股相关信息						
时间(年)	2012	2013	2014	2015	2016	平均值
固定资产增长率(%)	41.61	6.49	17.01	12.8	37.08	21.70333333
总资产增长率(%)	50.48	6.51	3.48	25.11	-7.83	20.15666667
主营业务收入增长率(%)	106.47	8.56	50.95	-4.65	28.45	55.32666667
营业利润增长率(%)	9.78	332.69	-28.87	20.56	64.31	104.5333333
净利润增长率(%)	-62.16	747.91	-50.91	32.53	97.46	211.6133333
						
营业杠杆(实际贡献/固定成本)						
财务杠杆(总资产/总股本)						
总杠杆(营业杠杆*财务杠杆)						
负债权益比(总负债/股东权益总和)						
速动比率(速动资产/流动负债)						
流动比率(流动资产/流动负债)						
股本回报率(净收入/平均股东权益)						
净经营利润率(息税前利润/销售总额)						

兆驰股份(002429)相关信息						
时间(年)	2012	2013	2014	2015	2016	平均值
固定资产增长率(%)	19.71	25.65	28.74	246.86	2.48	64.688
总资产增长率(%)	5.48	33.87	-4.39	37.11	30.03	20.42
主营业务收入增长率(%)	42.09	3.42	8.62	-14.23	22.66	12.512
营业利润增长率(%)	31.15	14.38	1.94	-52.69	-11.03	-3.25
净利润增长率(%)	31.58	18.44	4.79	-48.23	2.88	1.892


和邦生物相关信息						
时间(年)	2012	2013	2014	2015	2016	平均值
固定资产增长率(%)	-9.49	-8.93	99.16	17.45	22.39	24.116
总资产增长率(%)	37.05	10.62	63.59	22.62	15.45	29.866
主营业务收入增长率(%)	-8.41	-7.77	36.38	30.97	20.96	14.426
营业利润增长率(%)	-20.77	-81.69	864.93	-67.77	54.98	149.936
净利润增长率(%)	-8.569946489	-80.76084685	942.6198976	-64.46201024	34.6584007	164.6970989
